Brand,Halilit_Name,Halilit_Price_ILS_IncVAT,Halilit_Price_ILS_ExVAT,Thomann_Name,Match_Score,Thomann_Price_USD,Thomann_Shipping_USD,Thomann_VAT_USD,Thomann_Total_Landed_ILS,Price_Gap_ILS,Margin_Pct,Thomann_URL
RCF,RCF ART 745-A MK5,₪8074,₪6842,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF F 12XR,₪2041,₪1729,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF SWM-BR COMPACT M,₪170,₪144,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF HD 10-A MK5,₪3008,₪2549,N/A,25%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF CVR 005 Cover for SUB 702-AS MK3,₪526,₪445,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF ART 912-AX,₪3846,₪3259,RCF ART 912-AX,100%,$879,$50,$167,₪4001,₪-155,-3%,https://www.thomannmusic.com/rcf_art_912_ax.htm
RCF,כיסוי מגן RCF CVR KX 45-A Protection Cover,₪464,₪393,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,עגלת נשיאה RCF KRT-WH 002 Cart,₪4005,₪3394,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
RCF,RCF NXL24A Fly Bar Kit,₪1182,₪1001,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,Mackie mRING-10 - 10 Ring Light,₪208,₪176,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,Mackie MobileMix,₪983,₪833,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,Mackie DB-100,₪214,₪181,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,Mackie MainStream,₪1282,₪1086,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,+Mackie ProFX10v3,₪1411,₪1195,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,זוג מוניטורים Mackie CR8BT Gen 3,₪1197,₪1014,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,מיקרופון USB קונדנסר Mackie Chromium,₪641,₪543,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,Mackie ShowBox Gig Bag,₪342,₪289,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,מיקרופון למצלמות ומובייל Mackie EM93M,₪342,₪289,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,זוג מוניטורים Mackie CR3.5BT Gen 3,₪512,₪433,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,+Mackie ProFX6v3,₪1069,₪905,N/A,50%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,תיק לרמקול Mackie Bag for Thump Speaker 10,₪278,₪235,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,+Mackie ProFX12v3,₪1796,₪1522,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,סאב וופר Mackie CR8SBT Gen 3,₪855,₪724,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,Mackie mRING-6 6 Battery-powered Ring Light,₪208,₪176,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,Mackie DB-200,₪1282,₪1086,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,Mackie bag for Thrash212 Speaker 12,₪278,₪235,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,מיקרופון קונדנסר לאולפן Mackie Carbon USB Condenser,₪641,₪543,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,Mackie bag for Thrash215 Speaker 15,₪278,₪235,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,זוג מוניטורים לאולפן Mackie CR3.5 Gen 3,₪512,₪433,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,זוג מוניטורים Mackie CR4.5 Gen 3,₪512,₪433,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,ערכת מיקרופון לצילום Mackie EM93MK,₪341,₪288,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,Mackie DLZ Creator XS,₪1796,₪1522,Mackie DLZ Creator,66%,$689,$50,$133,₪3182,₪-1386,-43%,https://www.thomannmusic.com/mackie_dlz.htm
Mackie,זוג מוניטורים Mackie CR4.5BT Gen 3,₪512,₪433,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
Mackie,Mackie CreatorSling - Bag,₪983,₪833,N/A,20%,N/A,N/A,N/A,N/A,N/A,N/A,
